CHEBI:17901	C02655
CHEBI:2169	C09055
CHEBI:17534	C03239
CHEBI:16586	C02378
CHEBI:15504	C01063
CHEBI:18236	C03683
CHEBI:28140	C02522
CHEBI:2181	C01019
CHEBI:2183	C10059
CHEBI:2184	C11780
CHEBI:17915	C01880
CHEBI:17869	C06103
CHEBI:27524	C05657
CHEBI:2197	C10072
CHEBI:16368	C02379
CHEBI:16168	C01020
CHEBI:17104	C05190
CHEBI:2202	C08744
CHEBI:15953	C04584
CHEBI:28269	C05962
CHEBI:29001	C11405
CHEBI:29004	C11407
CHEBI:15604	C02486
CHEBI:15613	C01142
CHEBI:15455	C00640
CHEBI:210	C04031
CHEBI:214	C11417
CHEBI:36882	C01011
CHEBI:16022	C00789
CHEBI:3274	C05694
CHEBI:17361	C00055
CHEBI:16556	C00128
CHEBI:17245	C00237
CHEBI:16526	C00011
CHEBI:3284	C11365
CHEBI:17677	C00063
CHEBI:3286	C08187
CHEBI:18127	C01672
CHEBI:3289	C10756
CHEBI:17395	C01481
CHEBI:28323	C10945
CHEBI:15518	C00323
CHEBI:70034	C10204
CHEBI:3302	C09353
CHEBI:3305	C11309
CHEBI:3306	C06865
CHEBI:3309	C08133
CHEBI:3311	C08129
CHEBI:3312	C08130
CHEBI:3318	C09085
CHEBI:3321	C09067
CHEBI:3327	C10054
CHEBI:3328	C09158
CHEBI:3329	C08855
CHEBI:3330	C11256
CHEBI:3332	C09097
CHEBI:3333	C10573
CHEBI:41791	C05370
CHEBI:3336	C10850
CHEBI:3337	C10851
CHEBI:3339	C08934
CHEBI:3340	C08666
CHEBI:28623	C01789
CHEBI:27656	C01897
CHEBI:3344	C10249
CHEBI:3346	C09370
CHEBI:3348	C07709
CHEBI:70240	C08520
CHEBI:3356	C09354
CHEBI:3357	C08998
CHEBI:69478	C07578
CHEBI:3361	C10576
CHEBI:3362	C08583
CHEBI:3364	C10000
CHEBI:3365	C09933
CHEBI:3366	C09371
CHEBI:3369	C08398
CHEBI:3371	C01790
CHEBI:3374	C06866
CHEBI:3376	C08889
CHEBI:3378	C08585
CHEBI:3384	C09106
CHEBI:3388	C07496
CHEBI:17672	C00169
CHEBI:3396	C06870
CHEBI:3398	C06871
CHEBI:27385	C07561
CHEBI:3403	C06872
CHEBI:35757	C00060
CHEBI:3412	C08667
CHEBI:3413	C08328
CHEBI:3417	C08522
CHEBI:3418	C08523
CHEBI:3420	C08399
CHEBI:3424	C00487
CHEBI:3427	C08792
CHEBI:15727	C00386
CHEBI:3431	C09628
CHEBI:3433	C10135
CHEBI:3437	C06874
CHEBI:3439	C08598
CHEBI:17695	C01414
CHEBI:3445	C09071
CHEBI:3450	C08668
CHEBI:3454	C08670
CHEBI:3456	C10136
CHEBI:3457	C09934
CHEBI:27860	C02256
CHEBI:3461	C10212
CHEBI:28117	C09617
CHEBI:18135	C00090
CHEBI:3469	C09107
CHEBI:3471	C09935
CHEBI:3474	C10760
CHEBI:3476	C10001
CHEBI:3480	C06879
CHEBI:3481	C08102
CHEBI:474053	C06880
CHEBI:478164	C08111
CHEBI:3490	C08104
CHEBI:3492	C08105
CHEBI:3493	C06883
CHEBI:204928	C06885
CHEBI:209807	C06887
CHEBI:3501	C08106
CHEBI:3507	C11253
CHEBI:3508	C06889
CHEBI:16990	C00486
CHEBI:17033	C00500
CHEBI:3103	C07605
CHEBI:28751	C05376
CHEBI:15373	C06313
CHEBI:16615	C01893
CHEBI:15559	C04577
CHEBI:27486	C06392
CHEBI:763	C06391
CHEBI:18204	C03207
CHEBI:18430	C04578
CHEBI:769	C11675
CHEBI:772	C11346
CHEBI:27771	C05139
CHEBI:776	C05300
CHEBI:15826	C03748
CHEBI:16799	C01090
CHEBI:15798	C04457
CHEBI:16362	C00737
CHEBI:17942	C02962
CHEBI:17360	C00817
CHEBI:28385	C06464
CHEBI:17702	C01569
CHEBI:16689	C01488
CHEBI:16292	C00652
CHEBI:17108	C00216
CHEBI:16241	C01112
CHEBI:15816	C00792
CHEBI:17364	C00402
CHEBI:15770	C03494
CHEBI:27904	C01796
CHEBI:16023	C02022
CHEBI:4116	C03604
CHEBI:48095	C10906
CHEBI:16905	C00354
CHEBI:18105	C01094
CHEBI:15946	C00085
CHEBI:4126	C00905
CHEBI:16534	C00880
CHEBI:15895	C03383
CHEBI:15945	C02669
CHEBI:28207	C03783
CHEBI:37480	C03384
CHEBI:4141	C01113
CHEBI:18018	C04247
CHEBI:16981	C04776
CHEBI:17615	C03692
CHEBI:4153	C00333
CHEBI:16002	C00818
CHEBI:33198	C00257
CHEBI:16938	C01236
CHEBI:47977	C00329
CHEBI:15873	C00352
CHEBI:35373	C06023
CHEBI:4170	C00092
CHEBI:16809	C02827
CHEBI:4178	C00191
CHEBI:28547	C05385
CHEBI:15966	C00217
CHEBI:17061	C00819
CHEBI:17378	C00577
CHEBI:32398	C00258
CHEBI:4191	C06465
CHEBI:18004	C01906
CHEBI:16588	C03606
CHEBI:4195	C02965
CHEBI:15965	C02672
CHEBI:27947	C06419
CHEBI:28225	C01570
CHEBI:16855	C00739
CHEBI:16298	C00644
CHEBI:4209	C03693
CHEBI:16224	C02024
CHEBI:16867	C00855
CHEBI:28804	C01799
CHEBI:37713	C02532
CHEBI:16176	C00515
CHEBI:4223	C02828
CHEBI:16313	C00763
CHEBI:27605	C06468
CHEBI:16246	C01068
CHEBI:4235	C06248
CHEBI:28662	C01095
CHEBI:17797	C00117
CHEBI:17173	C00309
CHEBI:17363	C00199
CHEBI:16523	C00740
CHEBI:17044	C01096
CHEBI:4249	C00795
CHEBI:4251	C01097
CHEBI:28458	C06467
CHEBI:16398	C00820
CHEBI:27508	C03109
CHEBI:16296	C00525
CHEBI:4259	C05795
CHEBI:15936	C00181
CHEBI:17140	C00310
CHEBI:17805	C04666
CHEBI:16507	C04563
CHEBI:18225	C04062
CHEBI:18156	C04064
CHEBI:4280	C03943
CHEBI:27378	C02143
CHEBI:4284	C11717
CHEBI:27792	C06682
CHEBI:4290	C07488
CHEBI:16991	C00039
CHEBI:15837	C07328
CHEBI:15486	C03069
CHEBI:17920	C02796
CHEBI:15488	C03231
CHEBI:1604	C02230
CHEBI:28549	C05644
CHEBI:17397	C02366
CHEBI:28647	C05616
CHEBI:28343	C06630
CHEBI:18084	C04676
CHEBI:17639	C03070
CHEBI:47909	C00619
CHEBI:15775	C00846
CHEBI:15490	C02232
CHEBI:1637	C05756
CHEBI:16404	C02943
CHEBI:28422	C02122
CHEBI:27648	C05269
